Text, Words, Unique Words, Vocab Quotient, Germanic 1, Germanic 2, Latinate 1, Latinate 2, Hellenic, Unknown 1, Unknown 2 
ch1-1,304,149,49.01,81.32,60.89,4.67,8.89,,14.01,30.22
ch1-2,6636,1235,18.61,91.43,82.23,3.79,7.17,0.05,4.7,10.5
ch1-3,3999,1033,25.83,89.4,75.65,3.57,7.81,0.03,6.99,16.51
ch1-4,6801,1205,17.72,91.06,81.96,3.91,7.23,0.02,4.94,10.7
ch2-1,1945,771,39.64,84.23,67.54,4.7,9.1,,11.07,23.36
ch2-2,2733,991,36.26,85.74,71.56,4.57,7.85,0.08,9.52,20.39
ch2-3,4787,1419,29.64,85.33,72.05,6.63,10.7,0.05,7.97,17.16
ch2-4,3343,1116,33.38,85.86,72.11,5.41,9.23,,8.73,18.66
ch2-5,1909,778,40.75,83.72,68.09,4.76,7.98,0.06,11.46,23.86
ch3-1,2389,922,38.59,81.82,65.63,7.16,12.18,0.1,10.87,22.01
ch3-2,10471,2259,21.57,87.27,74.8,6.77,12.58,0.16,5.78,12.38
ch3-3,3759,1109,29.5,88.01,72.23,4.66,9.54,0.07,7.2,18.07
ch4-1,2535,897,35.38,83.15,68.03,8.26,13.95,0.05,8.54,17.97
ch4-2,3848,1218,31.65,85.03,69.98,6.18,11.7,0.03,8.72,18.24
ch4-3,3187,1071,33.61,84.86,69.14,5.47,10.22,0.19,9.48,20.4
ch5-1,14481,3232,22.32,84.45,72.39,6.99,12.27,0.2,8.34,15.07
ch5-2,2393,824,34.43,86.53,71.34,5.02,9.45,0.15,8.25,18.96
ch5-3,7639,1887,24.7,86.6,72.52,5.89,11.08,0.08,7.39,16.26
ch5-4,1872,753,40.22,83.49,66.88,5.33,9.34,,11.11,23.7 
